pr_dpcode,brcode,parqty,sh_daysmin,sd_t_qty_30,on_promotion,Parqty_Cal,Parqty_Adj
23,1.0,4,80,2.0,0.0,1.0,3
23,1.0,6,100,1.0,0.0,1.0,3
3,9.0,10,330,7.0,1.25,9.0,9
1,1.0,6,540,2.0,0.0,1.0,6
10,1.0,4,1085,1.0,1.25,1.0,8
19,0.0,6,981,0.0,0.0,0.0,6
3,4.0,2,326,4.0,0.0,4.0,6
8,7.0,6,164,7.0,0.0,7.0,7
19,13.0,6,360,13.0,0.0,13.0,13
28,8.0,4,280,6.0,1.25,8.0,8
4,6.0,7,502,5.0,1.25,6.0,8
3,19.0,20,245,15.0,1.25,19.0,19
8,0.0,4,236,0.0,0.0,0.0,6
23,0.0,3,210,0.0,0.0,0.0,3
3,1.0,4,180,1.0,0.0,1.0,6
19,7.0,6,584,7.0,0.0,7.0,7
23,4.0,8,40,13.0,0.0,4.0,3
8,3.0,6,292,3.0,0.0,3.0,6
2,2.0,4,180,2.0,0.0,2.0,6
2,5.0,10,332,5.0,0.0,5.0,6
9,2.0,6,1825,2.0,0.0,2.0,6
2,4.0,6,252,4.0,0.0,4.0,6
19,0.0,2,365,0.0,0.0,0.0,6
19,0.0,6,658,0.0,0.0,0.0,6
8,1.0,6,180,1.0,1.25,1.0,8
14,0.0,2,1825,0.0,0.0,0.0,6
2,1.0,2,100,1.0,1.25,1.0,8
1,2.0,12,270,3.0,0.0,2.0,6
8,1.0,4,601,1.0,0.0,1.0,6
1,0.0,3,329,0.0,0.0,0.0,6
1,7.0,8,402,11.0,0.0,7.0,7
28,2.0,4,75,3.0,0.0,2.0,3
23,2.0,5,328,2.0,0.0,2.0,3
19,0.0,3,290,0.0,0.0,0.0,6
22,1.0,4,216,1.0,1.25,1.0,4
28,0.0,4,135,0.0,0.0,0.0,3
8,4.0,6,292,4.0,0.0,4.0,6
3,2.0,4,327,2.0,0.0,2.0,6
10,9.0,14,658,7.0,1.25,9.0,9
2,10.0,6,185,8.0,1.25,10.0,10
10,4.0,4,329,4.0,0.0,4.0,6
2,7.0,6,256,7.0,0.0,7.0,7
5,3.0,6,239,3.0,0.0,3.0,6
2,9.0,12,275,9.0,0.0,9.0,9
10,4.0,6,600,3.0,1.25,4.0,8
28,1.0,6,365,1.0,0.0,1.0,6
9,0.0,6,657,0.0,0.0,0.0,6
8,4.0,6,319,4.0,0.0,4.0,6
5,1.0,3,365,1.0,0.0,1.0,6
2,2.0,7,621,2.0,0.0,2.0,6
23,2.0,3,9,7.0,0.0,2.0,3
21,0.0,6,203,0.0,0.0,0.0,3
19,1.0,6,360,1.0,0.0,1.0,6
4,28.0,7,246,22.0,1.25,28.0,28
