pr_level1_key,pr_dpcode,iprcode,pack_size,brcode,parqty,sh_daysmin,sd_t_qty_30,on_promotion,Parqty_Cal,Parqty_Adj
1,3,246954,36,1032,14,168,10.0,1.25,13.0,13
1,20,227064,12,1006,6,304,5.0,0.0,5.0,6
2,18,178741,10,1050,10,360,4.0,0.0,4.0,3
1,19,251833,24,1016,12,432,0.0,0.0,0.0,6
1,12,240589,24,1006,10,530,13.0,0.0,13.0,13
1,10,86952,6,1023,4,658,0.0,1.25,0.0,8
1,1,202316,1,1020,3,365,1.0,0.0,1.0,6
2,23,20297,1,1003,12,162,22.0,0.0,22.0,22
2,19,227912,24,1023,12,257,0.0,0.0,0.0,3
2,23,249231,8,1006,5,33,10.0,1.25,4.0,4
2,23,123491,12,1003,6,180,12.0,0.0,12.0,12
1,9,87516,36,1032,6,658,4.0,0.0,4.0,6
1,25,21314,10,1006,6,658,4.0,0.0,4.0,6
1,8,7139,4,1022,4,484,0.0,0.0,0.0,6
1,1,71202,1,1033,3,329,0.0,0.0,0.0,6
1,2,50497,6,1053,24,316,17.0,0.0,17.0,17
1,8,217294,6,1051,6,583,5.0,0.0,5.0,6
1,8,228599,24,1021,13,365,4.0,0.0,4.0,6
1,28,242690,6,1026,4,540,3.0,0.0,3.0,6
1,9,223626,12,1034,4,658,0.0,0.0,0.0,6
1,3,253883,24,1050,4,876,1.0,0.0,1.0,6
2,18,259793,1,1005,24,60,18.0,0.0,12.0,12
1,9,258589,12,1038,6,657,2.0,0.0,2.0,6
2,19,229155,24,1030,12,54,0.0,0.0,0.0,3
1,2,181123,10,1022,6,162,1.0,0.0,1.0,6
1,20,253861,12,1049,6,255,0.0,0.0,0.0,6
1,19,228684,12,1036,6,260,0.0,0.0,0.0,6
2,23,224651,1,1030,3,85,6.0,1.25,5.0,4
1,12,252225,12,1003,46,365,22.0,0.0,22.0,22
1,19,228686,12,1015,6,260,2.0,0.0,2.0,6
2,20,257921,30,1014,6,90,26.0,0.0,17.0,17
1,2,205007,24,1000,2,270,3.0,0.0,3.0,6
2,23,258949,24,1022,6,180,5.0,1.25,6.0,4
1,1,145456,1,1030,4,329,2.0,0.0,1.0,6
1,19,230709,12,1036,6,409,0.0,0.0,0.0,6
1,28,201215,4,1011,8,180,15.0,0.0,15.0,15
2,19,238848,1,1038,5,60,5.0,0.0,3.0,3
1,1,61974,1,1047,3,360,2.0,0.0,1.0,6
1,1,225370,1,1030,6,329,4.0,0.0,3.0,6
1,9,243471,5,1011,6,1095,4.0,0.0,4.0,6
1,1,256414,1,1020,3,3550,0.0,0.0,0.0,6
1,9,248282,6,1040,6,730,0.0,0.0,0.0,6
1,8,206527,12,1038,4,655,3.0,0.0,3.0,6
2,19,212376,1,1030,23,26,63.0,0.0,21.0,21
1,19,259058,1,1016,6,1095,1.0,0.0,1.0,6
2,23,231497,12,1046,6,109,6.0,1.25,8.0,8
1,12,251960,6,1003,6,400,4.0,1.25,5.0,8
1,1,228117,1,1051,3,365,2.0,0.0,1.0,6
2,18,212521,12,1050,0,126,4.0,0.0,4.0,3
1,5,228603,8,1000,8,366,3.0,1.25,4.0,8
1,19,223035,12,1050,6,658,0.0,0.0,0.0,6
1,1,257684,1,1000,6,750,8.0,0.0,5.0,5
1,28,258531,12,1005,4,135,2.0,0.0,2.0,6
2,21,71235,12,1019,6,211,3.0,0.0,3.0,3
1,2,212157,20,1015,2,270,3.0,1.25,4.0,8
1,28,219820,8,1024,4,120,1.0,0.0,1.0,6
1,3,247628,5,1011,4,335,4.0,0.0,4.0,6
2,23,200858,14,1023,6,108,8.0,1.25,10.0,10
1,1,244968,1,1021,6,730,5.0,0.0,3.0,6
1,8,140784,12,1003,8,527,0.0,0.0,0.0,6
2,28,189876,6,1005,4,40,9.0,0.0,3.0,3
1,8,250450,8,1042,5,576,0.0,0.0,0.0,6
1,8,7469,12,1014,43,904,16.0,0.0,16.0,16
1,5,250524,18,1047,3,256,0.0,0.0,0.0,6
1,9,258436,12,1051,6,504,0.0,0.0,0.0,6
2,22,255417,10,1000,2,540,1.0,0.0,1.0,3
2,23,247190,14,1014,5,150,6.0,0.0,6.0,6
1,2,256490,25,1032,2,365,4.0,1.25,5.0,8
1,12,249120,6,1014,4,438,4.0,1.25,5.0,8
1,1,254859,1,1032,3,750,2.0,0.0,1.0,6
1,19,236152,10,1021,5,441,1.0,0.0,1.0,6
1,8,219329,48,1020,4,270,0.0,0.0,0.0,6
1,20,246688,30,1034,8,292,5.0,0.0,5.0,6
2,23,249026,10,1041,4,162,3.0,0.0,3.0,3
1,9,135098,12,1039,7,657,8.0,0.0,8.0,8
1,1,225382,1,1021,3,329,0.0,0.0,0.0,6
1,6,252460,24,1024,12,864,7.0,0.0,7.0,7
2,23,246759,20,1038,5,60,0.0,1.25,0.0,4
1,9,252659,48,1005,6,756,6.0,0.0,6.0,6
1,28,170394,12,1016,6,77,9.0,0.0,6.0,6
1,6,253834,24,1036,12,480,2.0,1.25,3.0,8
1,1,255384,1,1006,3,1825,1.0,0.0,1.0,6
1,10,235796,24,1044,14,658,18.0,0.0,18.0,18
1,8,44556,12,1030,4,653,2.0,0.0,2.0,6
1,3,170107,8,1007,6,236,2.0,1.25,3.0,8
2,23,227338,1,1051,3,21,5.0,0.0,2.0,3
1,5,258035,24,1030,6,383,4.0,0.0,4.0,6
1,2,254248,8,1038,2,256,0.0,0.0,0.0,6
1,9,160626,6,1034,6,658,6.0,1.25,8.0,8
1,2,235056,24,1041,8,300,3.0,1.25,4.0,8
2,19,224470,6,1019,6,323,3.0,0.0,3.0,3
1,2,257525,12,1021,2,180,0.0,1.25,0.0,8
2,23,28258,1,1038,6,13,30.0,0.0,7.0,7
2,22,256340,20,1015,4,216,2.0,0.0,2.0,3
1,19,249792,40,1003,5,360,0.0,0.0,0.0,6
1,8,254462,12,1019,10,584,2.0,0.0,2.0,6
1,28,100598,12,1051,4,135,0.0,0.0,0.0,6
1,10,224914,12,1015,4,1000,0.0,1.25,0.0,8
1,9,214509,12,1042,4,658,8.0,1.25,10.0,10
2,22,246559,10,1046,4,219,0.0,1.25,0.0,4
1,8,230775,24,1053,10,283,11.0,0.0,11.0,11
2,28,214922,24,1040,8,90,0.0,0.0,0.0,3
1,1,162633,6,1022,6,577,9.0,0.0,6.0,6
1,6,246161,48,1041,4,252,2.0,0.0,2.0,6
1,9,212503,6,1012,4,658,2.0,0.0,2.0,6
1,10,234333,12,1039,7,658,7.0,1.25,9.0,9
1,28,255881,30,1021,4,710,1.0,0.0,1.0,6
1,10,247128,6,1051,6,1095,1.0,1.25,1.0,8
1,5,69457,24,1040,12,365,0.0,0.0,0.0,6
1,2,260031,24,1036,6,270,1.0,0.0,1.0,6
1,2,227570,36,1021,32,158,36.0,0.0,36.0,36
1,28,241860,12,1016,4,135,3.0,0.0,3.0,6
